1, Konrad Geßner, p1283, , Heinrich Bullinger [Antistes], p495
2, Johannes Haller d.J., p8018, , Heinrich Bullinger [Antistes], p495
3, Heinrich Bullinger [Antistes], p495, Januar 1548, Rudolf Gwalther (Walter Gualtherus Walthart) d.Ä., p8011
4, Heinrich Bullinger [Antistes], p495, 3. Januar 1548, Johannes Stumpf, p3067
5, Heinrich Bullinger [Antistes], p495, 3. Januar 1548, Joachim Vadian (von Watt), p8049
6, Christian Hochholzer, p1553, 4. Januar 1548, Heinrich Bullinger [Antistes], p495
7, Georg von Württemberg-Mömpelgard (Montbéliard), p8098, 4. Januar 1548, Heinrich Bullinger [Antistes], p495
8, Ambrosius Blarer (Blaurer), p8055, 10. Januar 1548, Heinrich Bullinger [Antistes], p495
9, Joachim Vadian (von Watt), p8049, 10. Januar 1548, Heinrich Bullinger [Antistes], p495
10, Joachim Vadian (von Watt), p8049, 12. Januar 1548, Heinrich Bullinger [Antistes], p495
11, Heinrich Bullinger [Antistes], p495, 13. Januar 1548, Joachim Vadian (von Watt), p8049
12, Ambrosius Blarer (Blaurer), p8055, 18. Januar 1548, Heinrich Bullinger [Antistes], p495
13, Ambrosius Blarer (Blaurer), p8055, 18. Januar 1548, Heinrich Bullinger [Antistes], p495
14, Georg Frölich (Laetus), p8354, 18. Januar 1548, Heinrich Bullinger [Antistes], p495
15, Johannes Blasius, p396, 19. Januar 1548, Heinrich Bullinger [Antistes], p495
16, Georg Frölich (Laetus), p8354, 19. Januar 1548, Heinrich Bullinger [Antistes], p495
17, Johann Leopold (Lüpold) Frey, p8082, 20. Januar 1548, Heinrich Bullinger [Antistes], p495
18, Oswald Myconius (Geißhüsler), p8418, 20. Januar 1548, Heinrich Bullinger [Antistes], p495
19, Peter Schnyder (Sartorius Frick), p8014, 21. Januar 1548, Heinrich Bullinger [Antistes], p495
20, Joachim Vadian (von Watt), p8049, 23. Januar 1548, Heinrich Bullinger [Antistes], p495
21, Ambrosius Blarer (Blaurer), p8055, 24. Januar 1548, Heinrich Bullinger [Antistes], p495
22, Ludwig Lavater, p1884, 24. Januar 1548, Heinrich Bullinger [Antistes], p495
23, Johannes Gast, p1278, 25. Januar 1548, Heinrich Bullinger [Antistes], p495
24, John Burcher, p505, 30. Januar 1548, Heinrich Bullinger [Antistes], p495
25, Ambrosius Blarer (Blaurer), p8055, 31. Januar 1548, Heinrich Bullinger [Antistes], p495
26, Celio Secondo Curione, p714, 31. Januar 1548, Heinrich Bullinger [Antistes], p495
27, Jodocus Kilchmeyer, p1804, 31. Januar 1548, Heinrich Bullinger [Antistes], p495
28, Nikolaus Pfister (Artopoeus Baling), p8114, 31. Januar 1547, Heinrich Bullinger [Antistes], p495
29, Heinrich Bullinger [Antistes], p495, , Oswald Myconius (Geißhüsler), p8418
