File ID,Topics
1,[5]
2,[2]
5,[10]
6,"[2, 5]"
7,[10]
8,"[2, 10]"
9,"[10, 11]"
10,[10]
11,"[5, 10]"
12,"[4, 5]"
13,"[7, 10]"
14,[5]
15,"[2, 10]"
16,"[4, 10]"
17,"[5, 6]"
18,"[10, 11]"
19,[5]
20,[10]
21,[2]
22,"[3, 4]"
23,"[3, 10]"
24,[6]
25,"[5, 11]"
26,[3]
27,"[2, 5]"
28,[3]
29,"[5, 10]"
30,"[4, 11]"
31,[4]
32,"[2, 5]"
33,[10]
35,[3]
37,"[4, 11]"
38,[10]
39,[10]
40,[11]
42,[10]
43,"[5, 11]"
44,"[4, 10]"
46,[11]
47,"[10, 11]"
48,"[10, 11]"
49,"[10, 11]"
50,[10]
51,"[6, 11]"
52,"[10, 11]"
53,[10]
54,"[6, 10]"
55,"[2, 3]"
57,[10]
58,"[2, 3]"
59,[10]
60,[6]
61,"[2, 11]"
62,"[10, 11]"
63,[4]
64,"[2, 4]"
65,"[5, 11]"
66,"[2, 3]"
67,[3]
68,[10]
69,"[2, 10]"
70,"[4, 10]"
71,"[10, 11]"
72,"[7, 8]"
74,[]
75,"[10, 11]"
76,"[3, 4]"
77,[10]
78,[10]
79,[11]
80,"[10, 11]"
82,[11]
83,"[5, 11]"
84,[6]
86,"[6, 11]"
87,[10]
88,"[5, 10]"
89,"[4, 5]"
90,[2]
91,[2]
92,[10]
93,[]
94,[5]
95,[10]
96,[10]
97,"[3, 5]"
98,[5]
99,[11]
100,"[2, 3]"
101,[2]
102,[5]
104,"[2, 4]"
105,"[3, 5]"
108,"[6, 10]"
109,[10]
110,"[4, 5]"
111,[2]
112,"[5, 10]"
113,[5]
114,[6]
115,"[5, 10]"
116,[5]
117,"[2, 5]"
118,[6]
119,"[2, 3]"
120,[6]
121,"[2, 5]"
122,[4]
123,"[2, 3]"
124,"[5, 9]"
125,"[5, 10]"
126,[6]
127,"[6, 11]"
129,[6]
130,[4]
131,[2]
132,[10]
133,[5]
134,"[2, 10]"
135,[6]
136,"[5, 6, 11]"
137,[10]
138,"[5, 10]"
139,"[4, 10]"
140,"[10, 11]"
141,"[6, 11]"
142,"[2, 5]"
143,[2]
144,[6]
145,[5]
146,[6]
147,"[10, 11]"
148,[2]
149,"[6, 11]"
150,"[10, 11]"
152,"[10, 11]"
153,"[10, 11]"
154,"[6, 10]"
155,"[5, 11]"
156,"[5, 11]"
157,[5]
159,[6]
160,[10]
161,"[2, 10]"
163,[10]
164,[2]
165,[10]
167,"[3, 5]"
170,[10]
171,"[3, 5]"
172,"[6, 11]"
173,"[10, 11]"
175,[11]
176,"[5, 11]"
177,[4]
178,"[5, 10]"
180,"[2, 5]"
181,"[10, 11]"
182,[11]
183,"[10, 11]"
184,[11]
185,"[3, 5]"
186,"[6, 11]"
187,"[4, 5]"
189,[11]
191,[11]
192,"[2, 9]"
193,"[5, 10]"
194,[6]
196,"[4, 6, 11]"
197,"[10, 11]"
198,"[6, 11]"
199,"[10, 11]"
200,"[6, 11]"
201,"[2, 3]"
202,"[9, 11]"
203,"[5, 11]"
204,"[5, 11]"
205,[6]
207,[11]
208,[5]
209,"[2, 9]"
210,[5]
211,"[5, 11]"
212,"[2, 6]"
213,"[2, 3]"
214,"[3, 6]"
215,"[5, 11]"
216,"[5, 10]"
217,"[10, 11]"
218,"[2, 3]"
219,[2]
